chr	rs	ps	n_miss	allele1	allele0	af	beta	se	logl_H1	l_remle	l_mle	p_wald	p_lrt	p_score
-9	ENSG00000005020.12	-9	0	A	T	4.407	-4.238133e-01	2.977407e-01	-2.021784e+02	1.000000e-05	1.000000e-05	1.579938e-01	1.460443e-01	1.516410e-01
-9	ENSG00000005022.5	-9	0	A	T	4.205	-2.788248e-01	3.847847e-01	-2.029590e+02	1.000000e-05	1.000000e-05	4.705207e-01	4.574832e-01	4.600126e-01
-9	ENSG00000005059.15	-9	0	A	T	2.325	-3.936084e-01	3.220890e-01	-2.024540e+02	1.000000e-05	1.000000e-05	2.248112e-01	2.113839e-01	2.163834e-01
-9	ENSG00000005073.5	-9	0	A	T	1.052	3.187042e-02	9.058047e-02	-2.031698e+02	1.000000e-05	1.000000e-05	7.257580e-01	7.179801e-01	7.188986e-01
-9	ENSG00000005075.15	-9	0	A	T	3.379	-3.270113e-01	2.674452e-01	-2.032248e+02	1.191090e-01	1.000000e-05	2.245575e-01	8.867454e-01	8.870627e-01
-9	ENSG00000005100.12	-9	0	A	T	3.831	1.433186e-01	5.804180e-01	-2.032028e+02	1.000000e-05	1.000000e-05	8.055179e-01	7.998802e-01	8.004782e-01
-9	ENSG00000005102.12	-9	0	A	T	0.618	8.765585e-02	1.032338e-01	-2.028564e+02	1.000000e-05	1.000000e-05	3.980295e-01	3.842088e-01	3.873958e-01
-9	ENSG00000005108.15	-9	0	A	T	3.891	-8.302718e-02	1.237348e-01	-2.029982e+02	1.000000e-05	1.000000e-05	5.038959e-01	4.913514e-01	4.936089e-01
-9	ENSG00000005156.11	-9	0	A	T	4.278	1.874731e-01	4.558365e-01	-2.031459e+02	1.000000e-05	1.000000e-05	6.818291e-01	6.729471e-01	6.740728e-01
-9	ENSG00000005175.9	-9	0	A	T	4.210	1.095622e-01	4.092859e-01	-2.031972e+02	1.000000e-05	1.000000e-05	7.895363e-01	7.834579e-01	7.841151e-01
-9	ENSG00000005187.11	-9	0	A	T	2.764	8.204373e-02	2.322106e-01	-2.031692e+02	1.000000e-05	1.000000e-05	7.246598e-01	7.168537e-01	7.177770e-01
-9	ENSG00000005189.19	-9	0	A	T	1.985	8.386697e-02	2.710011e-01	-2.031845e+02	1.000000e-05	1.000000e-05	7.576631e-01	7.507227e-01	7.515051e-01
-9	ENSG00000005194.14	-9	0	A	T	3.735	-1.528042e-01	3.426502e-01	-2.031303e+02	1.000000e-05	1.000000e-05	6.566825e-01	6.471977e-01	6.484535e-01
-9	ENSG00000005206.16	-9	0	A	T	2.881	2.248126e-01	2.782304e-01	-2.028920e+02	1.000000e-05	1.000000e-05	4.211699e-01	4.075523e-01	4.105197e-01
-9	ENSG00000005238.19	-9	0	A	T	3.496	-2.205731e-01	2.322468e-01	-2.027618e+02	1.000000e-05	1.000000e-05	3.447348e-01	3.306405e-01	3.343635e-01
-9	ENSG00000005243.9	-9	0	A	T	2.832	1.078113e-01	1.227847e-01	-2.028302e+02	1.000000e-05	1.000000e-05	3.822031e-01	3.682716e-01	3.716136e-01
-9	ENSG00000005249.12	-9	0	A	T	3.850	-6.339183e-02	9.710076e-02	-2.030108e+02	1.000000e-05	1.000000e-05	5.154837e-01	5.031274e-01	5.052951e-01
-9	ENSG00000005302.17	-9	0	A	T	3.849	-6.493005e-03	5.028949e-01	-2.032349e+02	1.000000e-05	1.000000e-05	9.897266e-01	9.894224e-01	9.894511e-01
-9	ENSG00000005339.14	-9	0	A	T	5.022	4.452044e-01	4.699017e-01	-2.027641e+02	1.000000e-05	1.000000e-05	3.458958e-01	3.318043e-01	3.355152e-01
-9	ENSG00000005379.15	-9	0	A	T	3.781	-2.652232e-02	1.080537e-01	-2.032032e+02	1.000000e-05	1.000000e-05	8.066508e-01	8.010445e-01	8.016384e-01
-9	ENSG00000005381.7	-9	0	A	T	1.272	9.578901e-02	2.093848e-01	-2.031248e+02	1.000000e-05	1.000000e-05	6.484058e-01	6.387276e-01	6.400282e-01
-9	ENSG00000005421.8	-9	0	A	T	0.694	-1.471488e-01	1.845391e-01	-2.029009e+02	1.000000e-05	1.000000e-05	4.272802e-01	4.137240e-01	4.166349e-01
-9	ENSG00000005436.13	-9	0	A	T	3.806	8.866147e-02	2.285830e-01	-2.031557e+02	1.000000e-05	1.000000e-05	6.990050e-01	6.905474e-01	6.915892e-01
-9	ENSG00000005448.16	-9	0	A	T	1.939	1.619271e-01	1.769591e-01	-2.031042e+02	2.892174e-02	1.000000e-05	3.625556e-01	6.090263e-01	6.104920e-01
-9	ENSG00000005469.11	-9	0	A	T	3.323	7.509284e-02	3.320199e-01	-2.032080e+02	1.000000e-05	1.000000e-05	8.215712e-01	8.163811e-01	8.169218e-01
